Property_Type,Property_Area,Number_of_Doors,Power_Backup,Water_Supply,Traffic_Density_Score,Air_Quality_Index,Neighborhood_Review,Habitability_score,Number_of_Windows,Furnishing,Frequency_of_Powercuts,Crime_Rate,Dust_and_Noise
1.0,263,1,1.0,3.0,7.05,133.0,4.43,91.63,1.0,1.0,0.0,3.0,2.0
0.0,985,3,1.0,2.0,7.6,117.0,4.13,80.26,2.0,0.0,0.0,3.0,2.0
1.0,136,2,2.0,3.0,4.15,98.0,3.86,75.3,3.0,1.0,0.0,1.0,2.0
5.0,1493,2,1.0,0.0,4.31,113.0,2.9,70.6,5.0,1.0,2.0,1.0,2.0
0.0,313,3,1.0,0.0,6.02,124.0,4.13,78.34,1.0,1.0,1.0,3.0,2.0
1.0,182,2,2.0,0.0,6.25,157.0,4.09,82.07,3.0,1.0,1.0,3.0,2.0
5.0,2032,2,1.0,3.0,6.78,130.0,4.43,69.23,2.0,1.0,0.0,3.0,2.0
1.0,491,3,1.0,2.0,5.68,100.0,4.16,90.31,3.0,1.0,0.0,3.0,2.0
1.0,870,1,2.0,0.0,6.21,97.0,3.54,84.6,1.0,0.0,1.0,1.0,2.0
1.0,7302,3,2.0,3.0,7.92,82.0,2.6,55.53,3.0,2.0,0.0,2.0,2.0
5.0,2164,4,1.0,0.0,5.66,97.0,4.17,91.82,3.0,1.0,0.0,1.0,2.0
4.0,778,3,1.0,3.0,5.86,82.0,1.36,44.74,6.0,1.0,3.0,0.0,2.0
1.0,379,1,1.0,4.0,6.55,129.0,1.93,33.07,2.0,1.0,2.0,1.0,2.0
3.0,233,1,1.0,0.0,6.81,112.0,4.14,84.38,3.0,1.0,1.0,3.0,2.0
2.0,2082,2,2.0,0.0,4.16,90.0,3.56,85.55,11.0,2.0,0.0,0.0,2.0
1.0,840,1,1.0,3.0,4.77,111.0,3.22,72.26,1.0,0.0,0.0,0.0,2.0
5.0,1725,2,1.0,0.0,5.7,120.0,4.14,89.7,4.0,1.0,0.0,1.0,2.0
1.0,265,1,1.0,0.0,8.48,181.0,3.36,32.34,3.0,2.0,0.0,0.0,0.0
3.0,23128,2,1.0,2.0,7.67,790.0,2.89,45.69,1.0,2.0,2.0,3.0,2.0
5.0,1576,3,2.0,3.0,5.19,114.0,3.84,74.95,5.0,2.0,0.0,1.0,2.0
1.0,304,1,1.0,3.0,5.62,84.0,3.87,83.23,4.0,1.0,0.0,1.0,2.0
5.0,1822,4,0.0,0.0,7.59,157.0,2.83,41.62,5.0,2.0,1.0,0.0,2.0
5.0,1116,4,1.0,0.0,2.53,94.0,4.88,77.42,3.0,1.0,0.0,3.0,1.0
5.0,1364,1,1.0,0.0,7.56,113.0,2.88,65.77,5.0,1.0,1.0,0.0,2.0
2.0,3342,6,1.0,2.0,5.07,80.0,3.57,72.3,5.0,1.0,0.0,1.0,2.0
1.0,409,1,1.0,2.0,8.67,191.0,3.34,72.89,3.0,1.0,1.0,3.0,0.0
4.0,651,3,1.0,3.0,8.4,195.0,3.02,70.55,4.0,1.0,1.0,1.0,0.0
1.0,812,3,1.0,2.0,6.74,123.0,4.13,88.75,4.0,1.0,0.0,3.0,2.0
2.0,2308,6,1.0,3.0,5.27,91.0,3.86,73.06,8.0,2.0,0.0,1.0,2.0
1.0,500,1,1.0,0.0,2.47,4.0,3.74,89.03,4.0,1.0,0.0,0.0,1.0
1.0,189,2,0.0,4.0,5.47,89.0,3.24,73.29,4.0,0.0,0.0,1.0,2.0
1.0,684,2,2.0,3.0,5.59,88.0,3.87,77.44,4.0,1.0,0.0,1.0,2.0
4.0,1005,3,1.0,0.0,5.63,87.0,2.93,33.94,5.0,2.0,1.0,0.0,2.0
0.0,783,2,1.0,3.0,5.05,84.0,3.87,72.83,2.0,0.0,0.0,1.0,2.0
5.0,1672,2,1.0,4.0,6.73,83.0,3.24,87.83,4.0,0.0,0.0,1.0,2.0
1.0,316,2,1.0,3.0,6.24,157.0,1.89,33.27,1.0,1.0,2.0,0.0,2.0
5.0,1192,2,1.0,2.0,5.81,96.0,2.91,75.23,5.0,1.0,0.0,0.0,2.0
5.0,2003,2,1.0,0.0,6.14,162.0,4.71,86.17,3.0,0.0,0.0,3.0,2.0
5.0,13602,2,1.0,0.0,7.7,89.0,4.79,74.93,5.0,1.0,0.0,3.0,2.0
5.0,2290,2,1.0,0.0,5.55,88.0,4.18,73.03,2.0,2.0,0.0,1.0,2.0
1.0,112,1,1.0,0.0,6.0,95.0,4.17,70.87,3.0,0.0,0.0,1.0,2.0
4.0,777,2,1.0,3.0,4.81,103.0,1.97,45.66,7.0,1.0,2.0,0.0,2.0
1.0,209,3,1.0,0.0,3.15,75.0,3.65,78.14,1.0,0.0,1.0,1.0,1.0
1.0,497,3,1.0,2.0,6.95,104.0,4.15,75.72,3.0,0.0,0.0,3.0,2.0
1.0,699,2,1.0,0.0,6.03,151.0,4.73,77.41,1.0,2.0,0.0,3.0,2.0
4.0,649,3,2.0,0.0,5.46,119.0,3.51,76.96,7.0,1.0,1.0,1.0,2.0
4.0,518,2,1.0,2.0,7.3,161.0,3.45,73.55,5.0,1.0,1.0,3.0,2.0
1.0,729,1,2.0,2.0,7.93,139.0,4.1,82.47,3.0,1.0,0.0,3.0,2.0
5.0,13700,4,1.0,0.0,7.8,80.0,4.11,72.35,5.0,2.0,1.0,3.0,0.0
5.0,1340,2,1.0,0.0,6.61,91.0,4.17,77.63,2.0,0.0,0.0,1.0,2.0
5.0,1986,2,1.0,2.0,5.78,112.0,4.15,76.37,5.0,1.0,0.0,3.0,2.0
2.0,2840,4,1.0,4.0,6.3,118.0,3.82,84.74,14.0,1.0,0.0,3.0,2.0
5.0,2281,4,1.0,2.0,7.8,119.0,3.5,71.15,4.0,1.0,0.0,1.0,2.0
2.0,3212,2,0.0,3.0,6.3,130.0,4.44,76.03,15.0,1.0,0.0,3.0,2.0
5.0,1166,2,1.0,0.0,7.19,89.0,2.29,23.18,3.0,2.0,1.0,2.0,2.0
5.0,1145,3,1.0,0.0,7.08,117.0,4.76,85.57,2.0,0.0,0.0,3.0,2.0
1.0,579,1,1.0,1.0,7.02,137.0,4.11,81.19,2.0,1.0,1.0,3.0,2.0
5.0,1495,2,1.0,2.0,8.04,157.0,4.02,72.74,5.0,1.0,0.0,3.0,0.0
4.0,720,2,1.0,3.0,5.22,97.0,3.23,67.15,6.0,1.0,1.0,1.0,2.0
4.0,877,1,1.0,3.0,7.3,124.0,3.81,77.18,7.0,1.0,0.0,1.0,2.0
5.0,1801,3,1.0,0.0,5.1,118.0,3.52,61.37,4.0,2.0,1.0,1.0,2.0
1.0,951,3,1.0,2.0,5.35,93.0,2.92,41.88,1.0,2.0,1.0,1.0,2.0
4.0,1255,2,1.0,0.0,5.67,95.0,2.29,41.75,6.0,2.0,2.0,0.0,2.0
5.0,1178,1,1.0,3.0,4.37,103.0,3.23,45.15,4.0,2.0,0.0,0.0,2.0
5.0,1500,3,2.0,4.0,5.68,94.0,3.23,71.15,5.0,1.0,0.0,1.0,2.0
0.0,602,2,1.0,3.0,7.47,130.0,3.8,70.14,4.0,1.0,0.0,1.0,2.0
1.0,980,2,2.0,0.0,5.97,106.0,3.53,75.76,3.0,1.0,1.0,1.0,2.0
5.0,2274,2,2.0,3.0,5.92,118.0,3.83,73.29,2.0,2.0,0.0,1.0,2.0
4.0,666,2,1.0,0.0,5.69,111.0,4.78,82.45,6.0,0.0,0.0,3.0,2.0
1.0,559,2,1.0,3.0,6.79,141.0,3.79,68.45,3.0,2.0,0.0,1.0,2.0
1.0,312,2,1.0,2.0,6.29,150.0,3.47,36.48,2.0,2.0,0.0,1.0,2.0
1.0,683,2,1.0,0.0,6.9,167.0,4.7,73.86,1.0,1.0,0.0,3.0,2.0
1.0,407,1,1.0,0.0,5.37,114.0,4.15,84.91,1.0,1.0,1.0,3.0,2.0
3.0,289,2,1.0,0.0,7.77,96.0,2.9,65.48,1.0,1.0,0.0,2.0,2.0
5.0,1351,1,1.0,0.0,6.69,84.0,4.18,75.99,4.0,2.0,0.0,3.0,2.0
4.0,670,3,1.0,0.0,6.94,105.0,4.15,75.08,6.0,0.0,0.0,1.0,2.0
5.0,1345,2,1.0,3.0,2.58,23.0,3.4,75.39,3.0,1.0,1.0,1.0,1.0
5.0,9823,2,2.0,4.0,6.56,143.0,1.91,66.39,4.0,1.0,0.0,2.0,2.0
5.0,1409,4,1.0,0.0,7.62,93.0,4.16,62.92,2.0,2.0,0.0,1.0,2.0
1.0,730,2,1.0,2.0,7.04,150.0,3.47,47.11,2.0,2.0,0.0,1.0,2.0
5.0,1763,3,2.0,0.0,9.02,190.0,3.34,74.81,2.0,2.0,0.0,0.0,0.0
0.0,617,3,1.0,2.0,7.41,141.0,3.47,75.24,7.0,1.0,1.0,3.0,2.0
5.0,1258,3,1.0,4.0,6.49,87.0,3.86,60.15,3.0,2.0,0.0,2.0,2.0
5.0,2070,1,1.0,3.0,7.97,124.0,4.43,82.85,5.0,2.0,0.0,3.0,2.0
5.0,1559,3,1.0,0.0,9.16,171.0,4.62,83.32,2.0,1.0,0.0,3.0,0.0
4.0,489,3,1.0,0.0,5.66,98.0,4.79,78.33,6.0,2.0,0.0,3.0,2.0
2.0,2079,5,1.0,2.0,5.64,117.0,2.26,73.07,15.0,1.0,1.0,0.0,2.0
1.0,310,3,1.0,3.0,4.52,87.0,3.25,79.6,2.0,1.0,1.0,1.0,2.0
2.0,3289,2,2.0,0.0,6.33,115.0,4.14,88.48,12.0,0.0,0.0,1.0,2.0
4.0,724,3,1.0,2.0,6.28,158.0,3.46,60.17,6.0,2.0,1.0,3.0,2.0
1.0,604,3,1.0,0.0,6.5,157.0,4.72,73.94,3.0,1.0,0.0,3.0,2.0
5.0,1431,1,2.0,0.0,8.3,152.0,4.02,81.71,2.0,2.0,1.0,1.0,0.0
5.0,1906,1,1.0,2.0,5.24,119.0,3.52,67.26,2.0,1.0,0.0,1.0,2.0
2.0,4244,3,1.0,3.0,6.39,129.0,2.55,38.16,15.0,2.0,1.0,0.0,2.0
1.0,811,2,1.0,4.0,7.33,140.0,3.16,66.97,1.0,1.0,0.0,1.0,2.0
4.0,415,1,1.0,0.0,4.33,95.0,3.55,82.69,4.0,1.0,1.0,1.0,2.0
2.0,3638,3,2.0,3.0,7.32,150.0,3.15,90.78,9.0,2.0,2.0,3.0,2.0
1.0,171,3,1.0,0.0,6.87,80.0,4.18,63.83,3.0,2.0,1.0,3.0,2.0
1.0,239,2,1.0,0.0,6.45,100.0,4.79,76.87,3.0,1.0,0.0,3.0,2.0
5.0,1434,3,1.0,0.0,6.56,124.0,4.13,90.16,4.0,1.0,1.0,3.0,2.0
1.0,824,2,1.0,0.0,7.26,150.0,3.46,72.47,1.0,0.0,2.0,3.0,2.0
1.0,176,3,2.0,3.0,8.52,187.0,4.29,83.1,1.0,2.0,0.0,3.0,0.0
1.0,373,3,1.0,2.0,5.63,85.0,3.56,78.88,3.0,1.0,0.0,1.0,2.0
0.0,1619,4,1.0,0.0,4.94,118.0,3.52,73.64,2.0,0.0,0.0,0.0,2.0
5.0,1913,1,1.0,1.0,5.01,91.0,3.87,85.51,5.0,1.0,1.0,3.0,2.0
1.0,204,2,1.0,3.0,6.82,247.0,3.77,80.95,1.0,1.0,1.0,3.0,2.0
5.0,1710,4,1.0,3.0,7.54,135.0,4.42,84.0,5.0,0.0,0.0,3.0,2.0
3.0,309,1,1.0,2.0,5.86,117.0,3.51,61.08,2.0,1.0,0.0,1.0,2.0
3.0,236,2,1.0,4.0,4.71,114.0,2.58,70.51,2.0,0.0,1.0,1.0,2.0
1.0,474,2,1.0,0.0,5.48,92.0,3.55,57.59,2.0,2.0,1.0,2.0,2.0
5.0,1344,4,1.0,3.0,3.33,24.0,4.02,64.49,2.0,2.0,0.0,1.0,1.0
5.0,1107,4,1.0,2.0,6.71,129.0,4.12,74.41,2.0,1.0,0.0,3.0,2.0
1.0,207,2,1.0,0.0,7.7,160.0,4.7,75.2,2.0,1.0,0.0,3.0,2.0
3.0,330,1,2.0,0.0,5.86,114.0,4.77,85.16,1.0,1.0,0.0,3.0,2.0
5.0,1365,2,1.0,2.0,5.2,114.0,2.96,82.64,5.0,0.0,0.0,0.0,1.0
5.0,1201,2,2.0,3.0,6.56,131.0,4.43,74.92,5.0,2.0,0.0,3.0,2.0
4.0,916,3,1.0,0.0,4.6,97.0,4.18,67.0,6.0,2.0,0.0,1.0,2.0
1.0,386,1,1.0,0.0,5.19,115.0,2.27,32.41,3.0,2.0,2.0,0.0,2.0
5.0,1425,2,0.0,0.0,7.01,154.0,4.09,80.73,3.0,1.0,0.0,1.0,2.0
5.0,23693,2,1.0,3.0,6.65,152.0,4.41,80.83,2.0,0.0,0.0,3.0,2.0
5.0,2141,3,1.0,0.0,5.78,103.0,2.91,78.86,2.0,1.0,3.0,3.0,2.0
5.0,2209,3,2.0,3.0,5.87,95.0,3.86,80.53,3.0,1.0,0.0,1.0,2.0
5.0,1842,2,2.0,0.0,7.96,169.0,4.06,80.9,4.0,1.0,1.0,3.0,2.0
5.0,1507,2,1.0,3.0,6.34,161.0,4.4,74.11,5.0,1.0,0.0,3.0,2.0
1.0,516,3,1.0,3.0,5.4,87.0,3.87,76.0,1.0,0.0,0.0,2.0,2.0
4.0,966,1,1.0,0.0,6.78,159.0,3.46,76.15,5.0,1.0,1.0,1.0,2.0
3.0,269,1,1.0,0.0,7.06,151.0,4.72,75.86,1.0,2.0,0.0,3.0,2.0
1.0,178,3,1.0,3.0,6.66,150.0,4.47,68.4,4.0,1.0,0.0,3.0,1.0
1.0,175,1,1.0,2.0,4.62,110.0,2.9,79.79,2.0,0.0,0.0,0.0,2.0
4.0,994,2,1.0,0.0,7.78,121.0,2.87,71.52,4.0,1.0,1.0,0.0,2.0
4.0,886,3,2.0,0.0,5.76,89.0,2.92,93.25,6.0,1.0,1.0,0.0,2.0
1.0,621,2,2.0,0.0,6.1,119.0,4.14,76.86,1.0,1.0,0.0,1.0,2.0
0.0,1048,2,1.0,0.0,6.93,87.0,4.17,70.42,6.0,2.0,1.0,3.0,2.0
1.0,8403,2,1.0,3.0,6.8,114.0,2.57,24.28,3.0,2.0,1.0,0.0,2.0
4.0,673,1,1.0,0.0,7.11,98.0,4.79,68.32,7.0,2.0,0.0,3.0,2.0
5.0,1261,2,1.0,2.0,6.06,152.0,3.47,66.28,4.0,1.0,0.0,1.0,2.0
1.0,448,3,1.0,2.0,2.76,45.0,4.31,73.59,4.0,2.0,0.0,3.0,1.0
1.0,119,3,1.0,0.0,4.18,119.0,4.15,74.28,3.0,0.0,0.0,1.0,2.0
0.0,1646,3,1.0,2.0,6.45,128.0,3.5,76.52,2.0,1.0,0.0,1.0,2.0
3.0,414,2,1.0,0.0,7.38,152.0,4.72,72.16,3.0,1.0,0.0,3.0,2.0
1.0,773,3,1.0,3.0,5.85,111.0,4.46,86.87,1.0,1.0,0.0,3.0,2.0
1.0,668,3,2.0,3.0,7.28,143.0,3.79,74.62,4.0,1.0,0.0,1.0,2.0
1.0,998,1,1.0,0.0,7.65,148.0,4.09,70.37,4.0,2.0,0.0,1.0,2.0
5.0,1635,1,1.0,0.0,5.56,88.0,3.55,62.5,2.0,2.0,1.0,1.0,2.0
5.0,1328,4,1.0,2.0,4.95,107.0,4.16,65.17,4.0,2.0,0.0,3.0,2.0
5.0,1611,1,1.0,2.0,7.26,96.0,2.9,73.69,2.0,1.0,0.0,0.0,2.0
1.0,157,2,1.0,0.0,6.56,110.0,4.77,93.48,4.0,1.0,0.0,3.0,2.0
1.0,484,1,1.0,3.0,4.43,98.0,3.92,63.45,4.0,2.0,1.0,3.0,1.0
1.0,802,2,1.0,3.0,6.0,153.0,3.78,83.01,1.0,1.0,0.0,1.0,2.0
4.0,664,3,1.0,0.0,5.92,91.0,4.8,73.92,6.0,1.0,0.0,3.0,2.0
4.0,10867,2,2.0,0.0,7.94,134.0,2.85,57.84,5.0,2.0,0.0,2.0,2.0
4.0,1048,3,1.0,0.0,4.86,118.0,3.52,62.15,4.0,2.0,0.0,0.0,2.0
1.0,297,1,2.0,4.0,6.61,124.0,3.81,78.87,4.0,2.0,0.0,2.0,2.0
1.0,324,1,2.0,0.0,8.56,169.0,4.0,70.25,4.0,2.0,1.0,3.0,0.0
5.0,1948,2,2.0,0.0,5.59,104.0,2.91,81.12,2.0,2.0,1.0,0.0,2.0
1.0,428,1,1.0,3.0,6.62,139.0,3.8,80.09,1.0,1.0,0.0,1.0,2.0
5.0,1357,2,1.0,2.0,7.41,137.0,4.11,60.51,4.0,2.0,0.0,3.0,2.0
2.0,3718,4,1.0,0.0,7.92,88.0,4.17,72.3,15.0,1.0,1.0,3.0,2.0
5.0,2299,2,1.0,3.0,5.88,83.0,3.87,67.0,4.0,2.0,0.0,1.0,2.0
5.0,1763,4,1.0,3.0,9.34,129.0,4.36,76.57,3.0,0.0,0.0,3.0,0.0
5.0,1658,3,1.0,3.0,7.6,128.0,2.55,74.26,5.0,1.0,3.0,3.0,2.0
4.0,1103,1,1.0,0.0,6.62,154.0,2.84,77.15,4.0,1.0,1.0,0.0,2.0
4.0,1283,3,2.0,0.0,6.19,85.0,4.18,67.71,5.0,2.0,0.0,1.0,2.0
4.0,623,2,1.0,0.0,6.1,81.0,2.93,74.91,4.0,1.0,3.0,3.0,2.0
5.0,1749,2,1.0,2.0,6.69,124.0,4.13,81.63,5.0,2.0,0.0,3.0,2.0
5.0,1962,2,2.0,0.0,6.36,144.0,3.48,80.51,3.0,1.0,1.0,1.0,2.0
5.0,1322,1,1.0,0.0,4.54,89.0,4.81,72.07,5.0,1.0,0.0,3.0,2.0
5.0,1767,4,1.0,3.0,5.67,84.0,3.24,63.42,4.0,2.0,1.0,1.0,2.0
1.0,344,3,1.0,3.0,5.44,118.0,3.83,66.81,2.0,1.0,0.0,1.0,2.0
5.0,1502,2,1.0,0.0,6.4,83.0,2.93,36.35,4.0,2.0,2.0,1.0,2.0
1.0,197,2,0.0,2.0,3.88,49.0,4.3,68.19,2.0,2.0,0.0,3.0,1.0
1.0,825,1,1.0,0.0,5.82,100.0,4.79,70.71,3.0,1.0,0.0,3.0,2.0
5.0,1269,1,1.0,3.0,7.49,143.0,3.16,46.74,5.0,2.0,0.0,0.0,2.0
4.0,987,2,1.0,4.0,6.22,98.0,3.85,73.32,6.0,1.0,0.0,3.0,2.0
1.0,479,1,1.0,2.0,7.37,152.0,3.46,54.54,4.0,2.0,1.0,3.0,2.0
1.0,447,1,2.0,0.0,7.35,152.0,4.09,78.84,2.0,1.0,1.0,3.0,2.0
4.0,431,1,1.0,0.0,5.56,107.0,4.16,80.25,4.0,1.0,1.0,3.0,2.0
5.0,1259,2,1.0,0.0,7.38,105.0,4.15,93.82,2.0,1.0,1.0,3.0,2.0
5.0,1156,4,1.0,4.0,6.82,119.0,3.82,77.82,2.0,1.0,0.0,3.0,2.0
4.0,921,2,0.0,2.0,4.22,119.0,2.89,77.71,7.0,0.0,1.0,1.0,2.0
3.0,403,1,1.0,3.0,6.1,131.0,3.81,68.65,3.0,1.0,0.0,1.0,2.0
5.0,2047,1,2.0,0.0,6.77,94.0,4.17,85.67,4.0,1.0,0.0,1.0,2.0
5.0,1790,1,1.0,3.0,4.19,117.0,3.21,79.11,2.0,0.0,1.0,0.0,2.0
1.0,151,3,1.0,4.0,4.94,91.0,1.98,69.4,1.0,0.0,2.0,1.0,2.0
2.0,2218,3,1.0,4.0,2.52,34.0,3.39,74.88,9.0,2.0,1.0,3.0,1.0
